,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
30,20,Private,266015,College,10,Single,Sales,Child,Black,Male,0,0,44,United States,<=50K
31,45,Private,386940,Bachelors,13,Divorced,Managerial,Child,White,Male,0,1408,40,United States,<=50K
32,30,Federal government,59951,College,10,Married civilian,Administrative,Child,White,Male,0,0,40,United States,<=50K
33,22,State government,311512,College,10,Married civilian,Service,Husband,Black,Male,0,0,15,United States,<=50K
34,48,Private,242406,11th,7,Single,Machine inspectors,Single,White,Male,0,0,40,Puerto Rico,<=50K
35,21,Private,197200,College,10,Single,Machine inspectors,Child,White,Male,0,0,40,United States,<=50K
36,19,Private,544091,High school graduate,9,Married Armed Forces,Administrative,Wife,White,Female,0,0,25,United States,<=50K
38,48,Self employed,265477,Associate academic,12,Married civilian,Professional,Husband,White,Male,0,0,40,United States,<=50K
39,31,Private,507875,9th,5,Married civilian,Machine inspectors,Husband,White,Male,0,0,43,United States,<=50K
40,53,Self employed,88506,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,40,United States,<=50K
41,24,Private,172987,Bachelors,13,Married civilian,Tech support,Husband,White,Male,0,0,50,United States,<=50K
42,49,Private,94638,High school graduate,9,Separated,Administrative,Single,White,Female,0,0,40,United States,<=50K
43,25,Private,289980,High school graduate,9,Single,Handlers,Not in family,White,Male,0,0,35,United States,<=50K
44,57,Federal government,337895,Bachelors,13,Married civilian,Professional,Husband,Black,Male,0,0,40,United States,>50K
45,53,Private,144361,High school graduate,9,Married civilian,Machine inspectors,Husband,White,Male,0,0,38,United States,<=50K
46,44,Private,128354,Masters,14,Divorced,Managerial,Single,White,Female,0,0,40,United States,<=50K
47,41,State government,101603,Associate vocational,11,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
48,29,Private,271466,Associate vocational,11,Single,Professional,Not in family,White,Male,0,0,43,United States,<=50K
49,25,Private,32275,College,10,Married civilian,Managerial,Wife,Other,Female,0,0,40,United States,<=50K
51,47,Private,51835,Professional school degree,15,Married civilian,Professional,Wife,White,Female,0,1902,60,Honduras,>50K
52,50,Federal government,251585,Bachelors,13,Divorced,Managerial,Not in family,White,Male,0,0,55,United States,>50K
53,47,Self employed,109832,High school graduate,9,Divorced,Managerial,Not in family,White,Male,0,0,60,United States,<=50K
54,43,Private,237993,College,10,Married civilian,Tech support,Husband,White,Male,0,0,40,United States,>50K
55,46,Private,216666,5th-6th,3,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,Mexico,<=50K
56,35,Private,56352,Associate vocational,11,Married civilian,Service,Husband,White,Male,0,0,40,Puerto Rico,<=50K
57,41,Private,147372,High school graduate,9,Married civilian,Administrative,Husband,White,Male,0,0,48,United States,<=50K
58,30,Private,188146,High school graduate,9,Married civilian,Machine inspectors,Husband,White,Male,5013,0,40,United States,<=50K
59,30,Private,59496,Bachelors,13,Married civilian,Sales,Husband,White,Male,2407,0,40,United States,<=50K
60,48,Private,149640,High school graduate,9,Married civilian,Transport,Husband,White,Male,0,0,40,United States,<=50K
61,42,Private,116632,Doctorate,16,Married civilian,Professional,Husband,White,Male,0,0,45,United States,>50K
62,29,Private,105598,College,10,Divorced,Tech support,Not in family,White,Male,0,0,58,United States,<=50K
63,36,Private,155537,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
64,28,Private,183175,College,10,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
65,53,Private,169846,High school graduate,9,Married civilian,Administrative,Wife,White,Female,0,0,40,United States,>50K
66,49,Self employed,191681,College,10,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,>50K
67,19,Private,101509,College,10,Single,Professional,Child,White,Male,0,0,32,United States,<=50K
68,31,Private,309974,Bachelors,13,Separated,Sales,Child,Black,Female,0,0,40,United States,<=50K
69,29,Self employed,162298,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,70,United States,>50K
70,23,Private,211678,College,10,Single,Machine inspectors,Not in family,White,Male,0,0,40,United States,<=50K
71,79,Private,124744,College,10,Married civilian,Professional,Relative,White,Male,0,0,20,United States,<=50K
72,27,Private,213921,High school graduate,9,Single,Service,Child,White,Male,0,0,40,Mexico,<=50K
73,40,Private,32214,Associate academic,12,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,<=50K
74,18,Private,309634,11th,7,Single,Service,Child,White,Female,0,0,22,United States,<=50K
75,31,Local government,125927,7th-8th,4,Married civilian,Agricultural,Husband,White,Male,0,0,40,United States,<=50K
76,18,Private,446839,High school graduate,9,Single,Sales,Not in family,White,Male,0,0,30,United States,<=50K
77,52,Private,276515,Bachelors,13,Married civilian,Service,Husband,White,Male,0,0,40,Cuba,<=50K
78,46,Private,51618,High school graduate,9,Married civilian,Service,Wife,White,Female,0,0,40,United States,<=50K
79,59,Private,159937,High school graduate,9,Married civilian,Sales,Husband,White,Male,0,0,48,United States,<=50K
80,44,Private,343591,High school graduate,9,Divorced,Craft and repair,Not in family,White,Female,14344,0,40,United States,>50K
81,53,Private,346253,High school graduate,9,Divorced,Sales,Child,White,Female,0,0,35,United States,<=50K
82,49,Local government,268234,High school graduate,9,Married civilian,Protective services,Husband,White,Male,0,0,40,United States,>50K
83,33,Private,202051,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,50,United States,<=50K
84,30,Private,54334,9th,5,Single,Sales,Not in family,White,Male,0,0,40,United States,<=50K
85,43,Federal government,410867,Doctorate,16,Single,Professional,Not in family,White,Female,0,0,50,United States,>50K
86,57,Private,249977,Associate vocational,11,Married civilian,Professional,Husband,White,Male,0,0,40,United States,<=50K
87,37,Private,286730,College,10,Divorced,Craft and repair,Single,White,Female,0,0,40,United States,<=50K
88,28,Private,212563,College,10,Divorced,Machine inspectors,Single,Black,Female,0,0,25,United States,<=50K
90,34,Local government,226296,Bachelors,13,Married civilian,Protective services,Husband,White,Male,0,0,40,United States,>50K
91,29,Local government,115585,College,10,Single,Handlers,Not in family,White,Male,0,0,50,United States,<=50K
92,48,Self employed,191277,Doctorate,16,Married civilian,Professional,Husband,White,Male,0,1902,60,United States,>50K
93,37,Private,202683,College,10,Married civilian,Sales,Husband,White,Male,0,0,48,United States,>50K
94,48,Private,171095,Associate academic,12,Divorced,Managerial,Single,White,Female,0,0,40,England,<=50K
95,32,Federal government,249409,High school graduate,9,Single,Service,Child,Black,Male,0,0,40,United States,<=50K
96,76,Private,124191,Masters,14,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,>50K
97,44,Private,198282,Bachelors,13,Married civilian,Managerial,Husband,White,Male,15024,0,60,United States,>50K
98,47,Self employed,149116,Masters,14,Single,Professional,Not in family,White,Female,0,0,50,United States,<=50K
99,20,Private,188300,College,10,Single,Tech support,Child,White,Female,0,0,40,United States,<=50K
100,29,Private,103432,High school graduate,9,Single,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
101,32,Self employed,317660,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,7688,0,40,United States,>50K
102,30,Private,194901,11th,7,Single,Handlers,Child,White,Male,0,0,40,United States,<=50K
103,31,Local government,189265,High school graduate,9,Single,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
104,42,Private,124692,High school graduate,9,Married civilian,Handlers,Husband,White,Male,0,0,40,United States,<=50K
105,24,Private,432376,Bachelors,13,Single,Sales,Relative,White,Male,0,0,40,United States,<=50K
106,38,Private,65324,Professional school degree,15,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
107,56,Self employed,335605,High school graduate,9,Married civilian,Service,Husband,White,Male,0,1887,50,Canada,>50K
108,28,Private,377869,College,10,Married civilian,Sales,Wife,White,Female,4064,0,25,United States,<=50K
109,36,Private,102864,High school graduate,9,Single,Machine inspectors,Child,White,Female,0,0,40,United States,<=50K
110,53,Private,95647,9th,5,Married civilian,Handlers,Husband,White,Male,0,0,50,United States,<=50K
111,56,Self employed,303090,College,10,Married civilian,Sales,Husband,White,Male,0,0,50,United States,<=50K
112,49,Local government,197371,Associate vocational,11,Married civilian,Craft and repair,Husband,Black,Male,0,0,40,United States,>50K
113,55,Private,247552,College,10,Married civilian,Sales,Husband,White,Male,0,0,56,United States,<=50K
114,22,Private,102632,High school graduate,9,Single,Craft and repair,Not in family,White,Male,0,0,41,United States,<=50K
115,21,Private,199915,College,10,Single,Service,Child,White,Female,0,0,40,United States,<=50K
116,40,Private,118853,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,60,United States,<=50K
117,30,Private,77143,Bachelors,13,Single,Managerial,Child,Black,Male,0,0,40,Germany,<=50K
118,29,State government,267989,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,50,United States,>50K
119,19,Private,301606,College,10,Single,Service,Child,Black,Male,0,0,35,United States,<=50K
120,47,Private,287828,Bachelors,13,Married civilian,Managerial,Wife,White,Female,0,0,40,United States,>50K
121,20,Private,111697,College,10,Single,Administrative,Child,White,Female,0,1719,28,United States,<=50K
122,31,Private,114937,Associate academic,12,Married civilian,Administrative,Husband,White,Male,0,0,40,United States,>50K
123,39,Private,365739,College,10,Divorced,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
124,28,Private,69621,Associate academic,12,Single,Sales,Not in family,White,Female,0,0,60,United States,<=50K
125,24,Private,43323,High school graduate,9,Single,Service,Not in family,White,Female,0,1762,40,United States,<=50K
126,38,Self employed,120985,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,4386,0,35,United States,<=50K
127,37,Private,254202,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,50,United States,<=50K
128,46,Private,146195,Associate academic,12,Divorced,Tech support,Not in family,Black,Female,0,0,36,United States,<=50K
129,38,Federal government,125933,Masters,14,Married civilian,Professional,Husband,White,Male,0,0,40,Iran,>50K
130,43,Self employed,56920,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,60,United States,<=50K
131,27,Private,163127,Associate vocational,11,Married civilian,Administrative,Wife,White,Female,0,0,35,United States,<=50K
132,20,Private,34310,College,10,Single,Sales,Child,White,Male,0,0,20,United States,<=50K
133,49,Private,81973,College,10,Married civilian,Craft and repair,Husband,Asian-Pac-Islander,Male,0,0,40,United States,>50K
134,61,Self employed,66614,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
135,27,Private,232782,College,10,Single,Sales,Child,White,Female,0,0,40,United States,<=50K
136,19,Private,316868,College,10,Single,Service,Child,White,Male,0,0,30,Mexico,<=50K
137,45,Private,196584,Associate vocational,11,Single,Professional,Not in family,White,Female,0,1564,40,United States,>50K
138,70,Private,105376,College,10,Single,Tech support,Relative,White,Male,0,0,40,United States,<=50K
139,31,Private,185814,High school graduate,9,Single,Transport,Single,Black,Female,0,0,30,United States,<=50K
140,22,Private,175374,College,10,Married civilian,Service,Husband,White,Male,0,0,24,United States,<=50K
141,36,Private,108293,High school graduate,9,Widowed,Service,Single,White,Female,0,0,24,United States,<=50K
142,64,Private,181232,11th,7,Married civilian,Craft and repair,Husband,White,Male,0,2179,40,United States,<=50K
143,47,Local government,186009,College,10,Divorced,Administrative,Single,White,Female,0,0,38,Mexico,<=50K
144,34,Private,198183,High school graduate,9,Single,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
145,33,Private,163003,Bachelors,13,Single,Managerial,Relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
146,21,Private,296158,High school graduate,9,Single,Craft and repair,Child,White,Male,0,0,35,United States,<=50K
147,48,Private,187715,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,46,United States,<=50K
148,23,Private,214542,Bachelors,13,Single,Handlers,Not in family,White,Male,0,0,40,United States,<=50K
149,71,Self employed,494223,College,10,Separated,Sales,Single,Black,Male,0,1816,2,United States,<=50K
150,29,Private,191535,High school graduate,9,Divorced,Craft and repair,Not in family,White,Male,0,0,60,United States,<=50K
151,42,Private,228456,Bachelors,13,Separated,Service,Relative,Black,Male,0,0,50,United States,<=50K
152,25,Private,252752,High school graduate,9,Single,Service,Single,White,Female,0,0,40,United States,<=50K
153,44,Self employed,78374,Masters,14,Divorced,Managerial,Single,Asian-Pac-Islander,Female,0,0,40,United States,<=50K
154,28,Private,88419,High school graduate,9,Single,Managerial,Not in family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
155,45,Self employed,201080,Masters,14,Married civilian,Sales,Husband,White,Male,0,0,40,United States,>50K
156,36,Private,207157,College,10,Divorced,Service,Single,White,Female,0,0,40,Mexico,<=50K
157,39,Federal government,235485,Associate academic,12,Single,Managerial,Not in family,White,Male,0,0,42,United States,<=50K
158,46,State government,102628,Masters,14,Widowed,Protective services,Single,White,Male,0,0,40,United States,<=50K
159,18,Private,25828,11th,7,Single,Handlers,Child,White,Male,0,0,16,United States,<=50K
160,66,Local government,54826,Associate vocational,11,Widowed,Professional,Not in family,White,Female,0,0,20,United States,<=50K
161,27,Private,124953,High school graduate,9,Single,Service,Not in family,White,Male,0,1980,40,United States,<=50K
162,28,State government,175325,High school graduate,9,Married civilian,Protective services,Husband,White,Male,0,0,40,United States,<=50K
163,51,Private,96062,College,10,Married civilian,Sales,Husband,White,Male,0,1977,40,United States,>50K
164,27,Private,428030,Bachelors,13,Single,Craft and repair,Not in family,White,Male,0,0,50,United States,<=50K
165,28,State government,149624,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
166,27,Private,253814,High school graduate,9,Married spouse absent,Sales,Single,White,Female,0,0,25,United States,<=50K
167,21,Private,312956,High school graduate,9,Single,Craft and repair,Child,Black,Male,0,0,40,United States,<=50K
168,34,Private,483777,High school graduate,9,Single,Handlers,Not in family,Black,Male,0,0,40,United States,<=50K
169,18,Private,183930,High school graduate,9,Single,Service,Child,White,Male,0,0,12,United States,<=50K
170,33,Private,37274,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,65,United States,<=50K
171,44,Local government,181344,College,10,Married civilian,Managerial,Husband,Black,Male,0,0,38,United States,>50K
172,43,Private,114580,College,10,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
173,30,Private,633742,College,10,Single,Craft and repair,Not in family,Black,Male,0,0,45,United States,<=50K
174,40,Private,286370,7th-8th,4,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,Mexico,>50K
175,37,Federal government,29054,College,10,Married civilian,Administrative,Husband,White,Male,0,0,42,United States,>50K
176,34,Private,304030,High school graduate,9,Married civilian,Administrative,Husband,Black,Male,0,0,40,United States,<=50K
177,41,Self employed,143129,Bachelors,13,Divorced,Managerial,Not in family,White,Female,0,0,40,United States,<=50K
178,31,Private,99928,Masters,14,Married civilian,Professional,Wife,White,Female,0,0,50,United States,<=50K
179,58,State government,109567,Doctorate,16,Married civilian,Professional,Husband,White,Male,0,0,1,United States,>50K
180,38,Private,155222,College,10,Divorced,Machine inspectors,Not in family,Black,Female,0,0,28,United States,<=50K
181,24,Private,159567,College,10,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,United States,<=50K
182,41,Local government,523910,Bachelors,13,Married civilian,Craft and repair,Husband,Black,Male,0,0,40,United States,<=50K
183,47,Private,120939,College,10,Married civilian,Tech support,Husband,White,Male,0,0,45,United States,<=50K
184,41,Federal government,130760,Bachelors,13,Married civilian,Tech support,Husband,White,Male,0,0,24,United States,<=50K
185,23,Private,197387,5th-6th,3,Married civilian,Transport,Relative,White,Male,0,0,40,Mexico,<=50K
186,36,Private,99374,College,10,Divorced,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
187,40,Federal government,56795,Masters,14,Single,Managerial,Not in family,White,Female,14084,0,55,United States,>50K
188,35,Private,138992,Masters,14,Married civilian,Professional,Relative,White,Male,7298,0,40,United States,>50K
189,24,Self employed,32921,High school graduate,9,Single,Sales,Not in family,White,Male,0,0,40,United States,<=50K
190,26,Private,397317,Masters,14,Single,Professional,Not in family,White,Female,0,1876,40,United States,<=50K
191,51,Private,259323,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,50,United States,>50K
192,42,Local government,254817,College,10,Single,Professional,Not in family,White,Female,0,1340,40,United States,<=50K
193,37,State government,48211,High school graduate,9,Divorced,Administrative,Single,White,Female,0,0,35,United States,<=50K
194,18,Private,140164,11th,7,Single,Sales,Child,White,Female,0,0,40,United States,<=50K
195,36,Private,128757,Bachelors,13,Married civilian,Service,Husband,Black,Male,7298,0,36,United States,>50K
196,35,Private,36270,High school graduate,9,Divorced,Craft and repair,Not in family,White,Male,0,0,60,United States,<=50K
197,58,Self employed,210563,High school graduate,9,Married civilian,Sales,Wife,White,Female,15024,0,35,United States,>50K
198,17,Private,65368,11th,7,Single,Sales,Child,White,Female,0,0,12,United States,<=50K
199,44,Local government,160943,High school graduate,9,Married civilian,Transport,Husband,Black,Male,0,0,40,United States,<=50K
200,37,Private,208358,High school graduate,9,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,>50K
201,35,Private,153790,College,10,Single,Sales,Not in family,Amer-Indian-Eskimo,Female,0,0,40,United States,<=50K
202,60,Private,85815,High school graduate,9,Married civilian,Craft and repair,Husband,Asian-Pac-Islander,Male,0,0,40,United States,<=50K
203,54,Self employed,125417,7th-8th,4,Married civilian,Machine inspectors,Husband,White,Male,0,0,40,United States,>50K
204,37,Private,635913,Bachelors,13,Single,Managerial,Not in family,Black,Male,0,0,60,United States,>50K
205,50,Private,313321,Associate academic,12,Divorced,Sales,Not in family,White,Female,0,0,40,United States,<=50K
206,38,Private,182609,Bachelors,13,Married civilian,Sales,Husband,White,Male,0,0,50,Poland,<=50K
207,45,Private,109434,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,55,United States,<=50K
208,25,Private,255004,10th,6,Single,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
209,31,Private,197860,College,10,Married civilian,Handlers,Husband,White,Male,0,0,40,United States,<=50K
210,90,Private,51744,High school graduate,9,Single,Service,Not in family,Black,Male,0,2206,40,United States,<=50K
211,54,Private,176681,High school graduate,9,Married civilian,Administrative,Husband,Black,Male,0,0,20,United States,<=50K
212,53,Local government,140359,Preschool,1,Single,Machine inspectors,Not in family,White,Female,0,0,35,United States,<=50K
213,18,Private,243313,High school graduate,9,Single,Sales,Child,White,Female,0,0,40,United States,<=50K
214,66,Self employed,167687,High school graduate,9,Married civilian,Agricultural,Husband,White,Male,1409,0,50,United States,<=50K
215,75,Private,314209,Associate vocational,11,Widowed,Administrative,Not in family,White,Female,0,0,20,Columbia,<=50K
216,65,Private,176796,High school graduate,9,Divorced,Administrative,Not in family,White,Female,0,0,40,United States,<=50K
217,35,Private,538583,11th,7,Separated,Transport,Not in family,Black,Male,3674,0,40,United States,<=50K
218,41,Private,130408,High school graduate,9,Divorced,Sales,Single,Black,Female,0,0,38,United States,<=50K
219,25,Private,159732,College,10,Single,Administrative,Not in family,White,Male,0,0,42,United States,<=50K
220,33,Private,110978,College,10,Divorced,Craft and repair,Relative,Other,Female,0,0,40,United States,<=50K
221,28,Private,76714,Professional school degree,15,Single,Professional,Not in family,White,Male,0,0,55,United States,>50K
222,59,State government,268700,High school graduate,9,Married civilian,Service,Husband,White,Male,0,0,40,United States,<=50K
223,40,State government,170525,College,10,Single,Administrative,Not in family,White,Female,0,0,38,United States,<=50K
224,41,Private,180138,Bachelors,13,Married civilian,Managerial,Husband,White,Male,0,0,50,Iran,>50K
225,38,Local government,115076,Masters,14,Married civilian,Managerial,Husband,White,Male,0,0,70,United States,>50K
226,23,Private,115458,High school graduate,9,Single,Transport,Child,White,Male,0,0,40,United States,<=50K
227,40,Private,347890,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,40,United States,>50K
228,41,Self employed,196001,High school graduate,9,Married civilian,Service,Wife,White,Female,0,0,20,United States,<=50K
229,24,State government,273905,Associate academic,12,Married civilian,Protective services,Husband,White,Male,0,0,50,United States,<=50K
230,38,Private,179488,College,10,Divorced,Craft and repair,Not in family,White,Male,0,1741,40,United States,<=50K
232,58,Private,236596,High school graduate,9,Married civilian,Administrative,Husband,White,Male,0,0,45,United States,>50K
233,32,Private,183916,High school graduate,9,Single,Service,Not in family,White,Female,0,0,34,United States,<=50K
234,40,Private,207578,Associate academic,12,Married civilian,Tech support,Husband,White,Male,0,1977,60,United States,>50K
236,41,Private,112763,Professional school degree,15,Married civilian,Professional,Wife,White,Female,0,0,40,United States,>50K
237,42,Private,390781,Bachelors,13,Married civilian,Administrative,Wife,Black,Female,0,0,40,United States,<=50K
238,59,Local government,171328,10th,6,Widowed,Service,Single,Black,Female,0,0,30,United States,<=50K
239,19,Local government,27382,College,10,Single,Administrative,Child,White,Male,0,0,40,United States,<=50K
240,58,Private,259014,College,10,Single,Transport,Not in family,White,Male,0,0,20,United States,<=50K
241,42,Self employed,303044,High school graduate,9,Married civilian,Agricultural,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
242,20,Private,117789,High school graduate,9,Single,Service,Child,White,Female,0,0,40,United States,<=50K
243,32,Private,172579,High school graduate,9,Separated,Service,Not in family,White,Female,0,0,30,United States,<=50K
244,45,Private,187666,Associate vocational,11,Widowed,Managerial,Not in family,White,Female,0,0,45,United States,<=50K
245,50,Private,204518,7th-8th,4,Divorced,Craft and repair,Not in family,White,Male,0,0,40,United States,<=50K
246,36,Private,150042,Bachelors,13,Divorced,Professional,Child,White,Female,0,0,40,United States,<=50K
247,45,Private,98092,High school graduate,9,Married civilian,Sales,Husband,White,Male,0,0,60,United States,<=50K
248,17,Private,245918,11th,7,Single,Service,Child,White,Male,0,0,12,United States,<=50K
249,59,Private,146013,College,10,Married civilian,Sales,Husband,White,Male,4064,0,40,United States,<=50K
250,26,Private,378322,11th,7,Married civilian,Craft and repair,Husband,White,Male,0,0,40,United States,<=50K
251,37,Self employed,257295,College,10,Married civilian,Managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,>50K
252,64,Private,21174,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,>50K
253,33,Private,185480,Bachelors,13,Single,Professional,Not in family,White,Female,0,0,45,United States,<=50K
254,33,Private,222205,High school graduate,9,Married civilian,Craft and repair,Wife,White,Female,0,0,40,United States,>50K
255,61,Private,69867,High school graduate,9,Married civilian,Managerial,Husband,White,Male,0,0,40,United States,>50K
256,17,Private,191260,9th,5,Single,Service,Child,White,Male,1055,0,24,United States,<=50K
257,50,Self employed,30653,Masters,14,Married civilian,Agricultural,Husband,White,Male,2407,0,98,United States,<=50K
258,27,Local government,209109,Masters,14,Single,Professional,Child,White,Male,0,0,35,United States,<=50K
259,30,Private,70377,High school graduate,9,Divorced,Professional,Child,White,Female,0,0,40,United States,<=50K
260,43,Private,477983,High school graduate,9,Married civilian,Handlers,Husband,Black,Male,0,0,40,United States,<=50K
261,44,Private,170924,College,10,Married civilian,Craft and repair,Husband,White,Male,7298,0,40,United States,>50K
262,35,Private,190174,College,10,Single,Managerial,Not in family,White,Female,0,0,40,United States,<=50K
263,25,Private,193787,College,10,Single,Tech support,Child,White,Female,0,0,40,United States,<=50K
264,24,Private,279472,College,10,Married civilian,Machine inspectors,Wife,White,Female,7298,0,48,United States,>50K
265,22,Private,34918,Bachelors,13,Single,Professional,Not in family,White,Female,0,0,15,Germany,<=50K
266,42,Local government,97688,College,10,Married civilian,Craft and repair,Husband,White,Male,5178,0,40,United States,>50K
267,34,Private,175413,Associate academic,12,Divorced,Sales,Single,Black,Female,0,0,45,United States,<=50K
268,60,Private,173960,Bachelors,13,Divorced,Professional,Not in family,White,Female,0,0,42,United States,<=50K
269,21,Private,205759,High school graduate,9,Single,Handlers,Child,White,Male,0,0,40,United States,<=50K
270,57,Federal government,425161,Masters,14,Married civilian,Sales,Husband,White,Male,15024,0,40,United States,>50K
271,41,Private,220531,Professional school degree,15,Married civilian,Professional,Husband,White,Male,0,0,60,United States,>50K
272,50,Private,176609,College,10,Divorced,Service,Not in family,White,Male,0,0,45,United States,<=50K
273,25,Private,371987,Bachelors,13,Single,Managerial,Not in family,White,Female,0,0,40,United States,<=50K
274,50,Private,193884,7th-8th,4,Married civilian,Craft and repair,Husband,White,Male,0,0,40,Ecuador,<=50K
275,36,Private,200352,Bachelors,13,Married civilian,Professional,Husband,White,Male,0,0,45,United States,<=50K
276,31,Private,127595,High school graduate,9,Divorced,Professional,Not in family,White,Female,0,0,40,United States,<=50K
277,29,Local government,220419,Bachelors,13,Single,Protective services,Not in family,White,Male,0,0,56,United States,<=50K
278,21,Private,231931,College,10,Single,Sales,Child,White,Male,0,0,45,United States,<=50K
279,27,Private,248402,Bachelors,13,Single,Tech support,Single,Black,Female,0,0,40,United States,<=50K
